2017  ;4   ;"02";"8792076803";"03.4100.130.02";"5.51.01.0005010 ";3   ;1   ;2  ;"65 i wiecej";"3-5 dni";"<5"
2017  ;2   ;"06";"6782680028";"03.4200.030.02";"5.51.01.0009039 ";3   ;1   ;2  ;"45-64";"6 i wiêcej dni";"<5"
2017  ;10  ;"13";"6772247459";"03.4100.030.02";"5.51.01.0005046 ";6   ;2   ;2  ;"65 i wiecej";"3-5 dni";"<5"
2017  ;1   ;"07";"5661019200";"03.4000.030.02";"5.51.01.0010025 ";6   ;2   ;2  ;"18-44";"1-2 dni";"<5"
2017  ;7   ;"11";"5833162278";"03.4601.030.02";"5.51.01.0002034 ";3   ;1   ;1  ;"0-17";"1-2 dni";"<5"
2017  ;5   ;"06";"6591328869";"03.4000.030.02";"5.51.01.0016005 ";2   ;2   ;1  ;"45-64";"6 i wiêcej dni";"<5"
2017  ;3   ;"12";"6442876726";"03.4600.030.02";"5.51.01.0002044 ";6   ;2   ;2  ;"0-17";"0 dni";"<5"
2017  ;3   ;"15";"6671534335";"03.4272.030.02";"5.51.01.0004028 ";6   ;1   ;1  ;"18-44";"3-5 dni";"<5"
2017  ;3   ;"08";"7542563619";"03.4530.030.02";"5.51.01.0015014 ";6   ;2   ;2  ;"65 i wiecej";"6 i wiêcej dni";"<5"
2017  ;8   ;"01";"8992228560";"03.4221.030.02";"5.51.01.0001059 ";3   ;2   ;1  ;"0-17";"1-2 dni";"<5"
2017  ;2   ;"16";"6691044410";"03.4530.030.02";"5.51.01.0015003 ";6   ;2   ;1  ;"65 i wiecej";"6 i wiêcej dni";"<5"
2017  ;12  ;"13";"6550000238";"03.4580.991.02";"5.51.01.0008015 ";6   ;2   ;1  ;"65 i wiecej";"6 i wiêcej dni";"<5"
2017  ;10  ;"08";"7491790304";"03.4421.150.02";"5.51.01.0013025 ";5   ;1   ;1  ;"0-17";"3-5 dni";"<5"
2017  ;2   ;"10";"8441786376";"03.4580.230.02";"5.51.01.0008013 ";3   ;2   ;2  ;"65 i wiecej";"6 i wiêcej dni";"<5"
2017  ;5   ;"11";"5833162278";"03.4000.030.02";"5.51.01.0005094 ";2   ;9   ;2  ;"65 i wiecej";"6 i wiêcej dni";"5       "
2017  ;11  ;"10";"5422529292";"03.4020.030.02";"5.51.01.0010059 ";6   ;1   ;2  ;"65 i wiecej";"6 i wiêcej dni";"<5"
2017  ;10  ;"01";"6111213469";"03.4500.030.02";"5.51.01.0006094 ";3   ;1   ;2  ;"65 i wiecej";"1-2 dni";"<5"
2017  ;9   ;"06";"9451932621";"03.4000.030.02";"5.51.01.0005055 ";3   ;2   ;2  ;"45-64";"3-5 dni";"<5"
2017  ;6   ;"15";"6182025893";"03.4050.030.02";"5.51.01.0006046 ";3   ;2   ;2  ;"65 i wiecej";"6 i wiêcej dni";"<5"
2017  ;5   ;"07";"1132393221";"03.4272.030.02";"5.51.01.0004016 ";3   ;2   ;2  ;"18-44";"6 i wiêcej dni";"<5"
2017  ;11  ;"04";"9281739120";"03.4500.030.02";"5.51.01.0006062 ";2   ;2   ;2  ;"45-64";"3-5 dni";"<5"
2017  ;5   ;"15";"7811618944";"03.4000.030.02";"5.51.01.0016003 ";3   ;1   ;1  ;"65 i wiecej";"3-5 dni";"<5"
2017  ;1   ;"15";"7831516773";"03.4640.030.02";"5.51.01.0011073 ";6   ;2   ;1  ;"45-64";"3-5 dni";"<5"
2017  ;10  ;"07";"8241545030";"03.4500.030.02";"5.51.01.0006066 ";3   ;2   ;1  ;"18-44";"6 i wiêcej dni";"<5"
2017  ;10  ;"03";"9191517717";"03.4000.030.02";"5.51.01.0005061 ";3   ;2   ;1  ;"18-44";"1-2 dni";"<5"
2017  ;4   ;"05";"7262234808";"03.4341.030.02";"5.51.01.0014006 ";3   ;1   ;2  ;"0-17";"1-2 dni";"<5"
2017  ;12  ;"15";"7811619837";"03.4500.030.02";"5.51.01.0007037 ";3   ;2   ;2  ;"18-44";"3-5 dni";"<5"
2017  ;5   ;"09";"8133561368";"03.4500.931.02";"5.51.01.0009002 ";6   ;2   ;2  ;"45-64";"1-2 dni";"<5"
2017  ;7   ;"12";"6271923530";"03.4000.030.02";"5.51.01.0015066 ";3   ;2   ;2  ;"65 i wiecej";"6 i wiêcej dni";"<5"
2017  ;6   ;"15";"5951340382";"03.4000.030.02";"5.51.01.0001037 ";3   ;1   ;2  ;"45-64";"1-2 dni";"<5"
2017  ;9   ;"07";"5220002529";"03.4610.030.02";"5.51.01.0003012 ";6   ;2   ;1  ;"65 i wiecej";"0 dni";"<5"
2017  ;8   ;"08";"7543106048";"03.4580.030.02";"5.51.01.0008110 ";2   ;2   ;2  ;"18-44";"3-5 dni";"<5"
2017  ;4   ;"01";"6921009016";"03.4610.030.02";"5.51.01.0003013 ";6   ;1   ;1  ;"0-17";"3-5 dni";"8       "
2017  ;4   ;"16";"8512537954";"03.4000.030.02";"5.51.01.0005077 ";3   ;1   ;2  ;"65 i wiecej";"3-5 dni";"<5"
